,Height,ConTime,BlockNum,TotalTime,NonConTime,Throughput,Overhead,Latency
98,99.0,201293788.0,99.0,1629138535.0,1427844747.0,0.0,0.0,0.0
99,100.0,234268806.0,100.0,687737990.0,453469184.0,0.0,0.0,0.0
100,101.0,1314335651.0,101.0,2643724043.0,1329388392.0,0.0,0.0,0.0
101,102.0,201334961.0,102.0,1529740839.0,1328405878.0,0.0,0.0,0.0
102,103.0,401907397.0,103.0,1529232492.0,1127325095.0,0.0,0.0,0.0
103,104.0,322086572.0,104.0,1059492134.0,737405562.0,0.0,0.0,0.0
104,105.0,1003060871.0,105.0,2437243985.0,1434183114.0,0.0,0.0,0.0
105,106.0,806189568.0,106.0,1964729908.0,1158540340.0,0.0,0.0,0.0
106,107.0,403432562.0,107.0,1694044341.0,1290611779.0,0.0,0.0,0.0
107,108.0,227407242.0,108.0,673049341.0,445642099.0,0.0,0.0,0.0
108,109.0,902997991.0,109.0,2042356743.0,1139358752.0,0.0,0.0,0.0
109,110.0,503074905.0,110.0,1624082671.0,1121007766.0,0.0,0.0,0.0
110,111.0,301593004.0,111.0,1704225058.0,1402632054.0,0.0,0.0,0.0
111,112.0,237266811.0,112.0,765441864.0,528175053.0,0.0,0.0,0.0
112,113.0,1003715144.0,113.0,2380443031.0,1376727887.0,0.0,0.0,0.0
113,114.0,401981435.0,114.0,1661473343.0,1259491908.0,0.0,0.0,0.0
114,115.0,302245025.0,115.0,1576042437.0,1273797412.0,0.0,0.0,0.0
115,116.0,225510151.0,116.0,801998788.0,576488637.0,0.0,0.0,0.0
116,117.0,1107622962.0,117.0,2512623619.0,1405000657.0,0.0,0.0,0.0
117,118.0,201829508.0,118.0,1499564561.0,1297735053.0,0.0,0.0,0.0
118,119.0,201414963.0,119.0,1442082461.0,1240667498.0,0.0,0.0,0.0
119,120.0,227471175.0,120.0,716680572.0,489209397.0,0.0,0.0,0.0
120,121.0,903163229.0,121.0,2290717195.0,1387553966.0,0.0,0.0,0.0
121,122.0,301604555.0,122.0,1664688502.0,1363083947.0,0.0,0.0,0.0
122,123.0,501757196.0,123.0,1832103118.0,1330345922.0,0.0,0.0,0.0
123,124.0,342083091.0,124.0,818406740.0,476323649.0,0.0,0.0,0.0
124,125.0,1303539541.0,125.0,2762174043.0,1458634502.0,0.0,0.0,0.0
125,126.0,502289937.0,126.0,1990459787.0,1488169850.0,0.0,0.0,0.0
126,127.0,100999897.0,127.0,1350441373.0,1249441476.0,0.0,0.0,0.0
127,128.0,221335498.0,128.0,882529098.0,661193600.0,0.0,0.0,0.0
128,129.0,1102973852.0,129.0,2854865134.0,1751891282.0,0.0,0.0,0.0
129,130.0,201503979.0,130.0,1686459984.0,1484956005.0,0.0,0.0,0.0
130,131.0,201400709.0,131.0,1254318451.0,1052917742.0,0.0,0.0,0.0
131,132.0,322376452.0,132.0,815360952.0,492984500.0,0.0,0.0,0.0
132,133.0,903191530.0,133.0,2141942110.0,1238750580.0,0.0,0.0,0.0
133,134.0,403895545.0,134.0,1607523102.0,1203627557.0,0.0,0.0,0.0
134,135.0,301363381.0,135.0,1545767878.0,1244404497.0,0.0,0.0,0.0
135,136.0,226286170.0,136.0,727714718.0,501428548.0,0.0,0.0,0.0
136,137.0,1203106019.0,137.0,2569320381.0,1366214362.0,0.0,0.0,0.0
137,138.0,402615927.0,138.0,1823801620.0,1421185693.0,0.0,0.0,0.0
138,139.0,940173.0,139.0,1313349804.0,1312409631.0,0.0,0.0,0.0
139,140.0,228413321.0,140.0,790525636.0,562112315.0,0.0,0.0,0.0
140,141.0,1003841746.0,141.0,2426430303.0,1422588557.0,0.0,0.0,0.0
141,142.0,941144.0,142.0,1289037490.0,1288096346.0,0.0,0.0,0.0
142,143.0,201354132.0,143.0,1598258294.0,1396904162.0,0.0,0.0,0.0
143,144.0,225379719.0,144.0,762765763.0,537386044.0,0.0,0.0,0.0
144,145.0,1405402951.0,145.0,3038993694.0,1633590743.0,0.0,0.0,0.0
145,146.0,897263.0,146.0,1452915042.0,1452017779.0,0.0,0.0,0.0
146,147.0,207384402.0,147.0,1680962602.0,1473578200.0,0.0,0.0,0.0
147,148.0,122514958.0,148.0,601288973.0,478774015.0,0.0,0.0,0.0
148,149.0,1104070795.0,149.0,2620521663.0,1516450868.0,0.0,0.0,0.0
149,150.0,302748017.0,150.0,1737639685.0,1434891668.0,0.0,0.0,0.0
150,151.0,301364447.0,151.0,1488247323.0,1186882876.0,0.0,0.0,0.0
151,152.0,230553028.0,152.0,909016402.0,678463374.0,0.0,0.0,0.0
152,153.0,1103406186.0,153.0,2673512521.0,1570106335.0,0.0,0.0,0.0
153,154.0,1156618.0,154.0,1525456797.0,1524300179.0,0.0,0.0,0.0
154,155.0,100955545.0,155.0,1227647482.0,1126691937.0,0.0,0.0,0.0
155,156.0,225817583.0,156.0,3692951313.0,3467133730.0,0.0,0.0,0.0
156,157.0,948346.0,157.0,727870184.0,726921838.0,0.0,0.0,0.0
157,158.0,101162949.0,158.0,706276534.0,605113585.0,0.0,0.0,0.0
158,159.0,226341185.0,159.0,1340775609.0,1114434424.0,0.0,0.0,0.0
159,160.0,1321577102.0,160.0,746955837.0,-574621265.0,0.0,0.0,0.0
160,161.0,323236150.0,161.0,2717442976.0,2394206826.0,0.0,0.0,0.0
161,162.0,101136836.0,162.0,1692418589.0,1591281753.0,0.0,0.0,0.0
162,163.0,225182640.0,163.0,1512801117.0,1287618477.0,0.0,0.0,0.0
163,164.0,1210761409.0,164.0,782791331.0,-427970078.0,0.0,0.0,0.0
164,165.0,8710696.0,165.0,2646098296.0,2637387600.0,0.0,0.0,0.0
165,166.0,401956612.0,166.0,1305871601.0,903914989.0,0.0,0.0,0.0
166,167.0,226917598.0,167.0,1709694080.0,1482776482.0,0.0,0.0,0.0
167,168.0,802968428.0,168.0,824929843.0,21961415.0,0.0,0.0,0.0
168,169.0,301413825.0,169.0,2260941744.0,1959527919.0,0.0,0.0,0.0
169,170.0,401670223.0,170.0,1749954951.0,1348284728.0,0.0,0.0,0.0
170,171.0,234487892.0,171.0,1910339495.0,1675851603.0,0.0,0.0,0.0
171,172.0,1403714442.0,172.0,727756492.0,-675957950.0,0.0,0.0,0.0
172,173.0,201381271.0,173.0,2780364381.0,2578983110.0,0.0,0.0,0.0
173,174.0,402044721.0,174.0,1592841443.0,1190796722.0,0.0,0.0,0.0
174,175.0,358005019.0,175.0,1868441191.0,1510436172.0,0.0,0.0,0.0
175,176.0,1003042343.0,176.0,901758322.0,-101284021.0,0.0,0.0,0.0
176,177.0,1005219714.0,177.0,2475069353.0,1469849639.0,0.0,0.0,0.0
177,178.0,401961527.0,178.0,2315458740.0,1913497213.0,0.0,0.0,0.0
178,179.0,223069871.0,179.0,1596772681.0,1373702810.0,0.0,0.0,0.0
179,180.0,903110529.0,180.0,683398722.0,-219711807.0,0.0,0.0,0.0
180,181.0,203958825.0,181.0,2140278780.0,1936319955.0,0.0,0.0,0.0
181,182.0,301659248.0,182.0,1426637959.0,1124978711.0,0.0,0.0,0.0
182,183.0,134095945.0,183.0,1719765841.0,1585669896.0,0.0,0.0,0.0
183,184.0,1306416538.0,184.0,774534055.0,-531882483.0,0.0,0.0,0.0
184,185.0,1039423.0,185.0,2850018959.0,2848979536.0,0.0,0.0,0.0
185,186.0,301742267.0,186.0,1312114249.0,1010371982.0,0.0,0.0,0.0
186,187.0,227732524.0,187.0,1606223009.0,1378490485.0,0.0,0.0,0.0
187,188.0,1105893254.0,188.0,817919615.0,-287973639.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
