,nodeNum,nodeIndex,blocksize,TotalHeights,Throughput,Overhead,Latency
82,16.0,5.0,200.0,159.0,118.95426308635476,0.27192276774883695,1.8494503205849055
83,16.0,6.0,200.0,159.0,119.45752415241641,0.24574006727184822,1.8416587951320755
84,16.0,7.0,200.0,159.0,119.11412625372522,0.2612815130024081,1.8469681717798743
85,16.0,8.0,200.0,159.0,119.44153069810463,0.25195818701765654,1.8419053968427672
86,16.0,9.0,200.0,159.0,118.14291469412503,0.24944979062519773,1.8621514508050316
87,16.0,10.0,200.0,159.0,117.05101306454779,0.25369640944459254,1.8795223914779875
88,16.0,11.0,200.0,159.0,116.91255210371502,0.283548477486581,1.8817483327610063
89,16.0,12.0,200.0,159.0,117.06262257047,0.2898439937292306,1.8793359927295596
90,16.0,13.0,200.0,159.0,116.85309475062058,0.24732653607007438,1.88270580654717
91,16.0,14.0,200.0,160.0,117.50640737624539,0.2509553296607524,1.8722383307625001
92,16.0,15.0,200.0,160.0,117.77648093188994,0.24646993356942257,1.8679450961625
93,16.0,16.0,200.0,159.0,117.9290232080737,0.22326093953142775,1.865528892
94,16.0,2.0,400.0,131.0,195.14268670274578,0.47612952216621757,2.1522712795267176
95,16.0,3.0,400.0,131.0,192.88468842584285,0.512198131481124,2.1774667726488546
96,16.0,5.0,400.0,130.0,189.8732273213796,0.2978054639185284,2.2120022181384615
97,16.0,6.0,400.0,130.0,190.59415359418182,0.27210006810848464,2.2036352746384615
98,16.0,7.0,400.0,130.0,190.18479180895758,0.2738725390747378,2.208378472353846
99,16.0,8.0,400.0,130.0,190.77382767269125,0.27364079458217666,2.2015598529615383
100,16.0,9.0,400.0,130.0,188.52878327813642,0.26987283036225473,2.2277765373384613
101,16.0,10.0,400.0,130.0,186.67241384440564,0.2761296601772808,2.2499307281153844
102,16.0,11.0,400.0,130.0,186.39471829442073,0.2984115553718468,2.2532827316307693
103,16.0,12.0,400.0,130.0,186.75878029838427,0.331854454386484,2.2488902493846155
104,16.0,13.0,400.0,130.0,186.5391224166716,0.29502212134031147,2.2515384148846156
105,16.0,14.0,400.0,130.0,186.96475825698815,0.278949216001387,2.246412660415385
106,16.0,15.0,400.0,130.0,186.71311864172893,0.2783973838475834,2.2494402271
107,16.0,16.0,400.0,130.0,187.43800094125734,0.3001480905238447,2.240740927084615
108,16.0,2.0,600.0,41.0,88.95143466365055,0.22744023186058565,6.970095562195122
109,16.0,5.0,600.0,40.0,84.6627162642521,0.10709652553819485,7.3231763326
110,16.0,6.0,600.0,40.0,85.12055137599833,0.09660779711441025,7.2837874047749995
111,16.0,7.0,600.0,40.0,84.82402534145184,0.1254759485638815,7.3092499148000005
112,16.0,8.0,600.0,40.0,84.6222974554847,0.11109227212673511,7.3266741585
113,16.0,9.0,600.0,40.0,84.24326775787074,0.11155227066930497,7.3596385385
114,16.0,10.0,600.0,40.0,83.34153193331727,0.0933278442346596,7.439268101
115,16.0,11.0,600.0,40.0,83.1999510896366,0.12691485951115927,7.451927457649999
116,16.0,12.0,600.0,40.0,83.3230411685343,0.13711220147036304,7.440918997975
117,16.0,13.0,600.0,40.0,83.37089632599408,0.13143305842927291,7.436647887
118,16.0,14.0,600.0,40.0,83.449244470742,0.0967996556802016,7.4296658278
119,16.0,15.0,600.0,40.0,83.35104233553422,0.10253505062766954,7.438419276199999
120,16.0,16.0,600.0,40.0,83.63322248505179,0.14005074370463913,7.4133219022
121,16.0,2.0,800.0,40.0,114.17547044560435,0.25756257900899915,7.181927929
122,16.0,5.0,800.0,40.0,111.5387727899836,0.14882359909892756,7.351703622774999
123,16.0,6.0,800.0,40.0,111.93737213596569,0.12365949635732537,7.32552483905
124,16.0,7.0,800.0,41.0,114.22436395679426,0.15298301232038597,7.178853719073171
125,16.0,8.0,800.0,40.0,112.00507617386178,0.1285216262250718,7.3210967575
126,16.0,9.0,800.0,40.0,109.69453186648114,0.1348833870472523,7.4753042476000005
127,16.0,10.0,800.0,40.0,109.75384200669171,0.12048657243187594,7.471264650125
128,16.0,11.0,800.0,40.0,109.70205742510537,0.15765830237672146,7.4747914419
129,16.0,12.0,800.0,40.0,109.77472864963092,0.16255922510929693,7.469843105850001
