,nodeNum,nodeIndex,blocksize,dura,TotalHeights,Throughput,Overhead,Latency
32,8.0,5.0,1200.0,10.0,160.0,654.0504329445291,0.8388353630203693,1.86529958325625
33,8.0,6.0,1200.0,10.0,160.0,655.0793935105,0.8108605443416788,1.8623696792875
34,8.0,7.0,1200.0,10.0,161.0,659.1353144001657,0.8500082658177517,1.8509097803540373
35,8.0,8.0,1200.0,10.0,159.0,650.3528280473731,0.8350865046261294,1.8759048125660376
36,8.0,1.0,1200.0,25.0,159.0,649.6559367739527,0.8461294107846296,1.8779171111069184
37,8.0,2.0,1200.0,25.0,160.0,650.0365192281458,0.8473570561180803,1.876817630875
38,8.0,3.0,1200.0,25.0,160.0,650.7554204739691,0.8514758999798191,1.8747442766
39,8.0,4.0,1200.0,25.0,160.0,651.0393361941971,0.830512073653752,1.87392670791875
40,8.0,5.0,1200.0,25.0,160.0,651.1774201310853,0.8278161800116591,1.87352933668125
41,8.0,6.0,1200.0,25.0,161.0,655.4026660499894,0.8241348539599845,1.8614510791552794
42,8.0,7.0,1200.0,25.0,160.0,652.36736643227,0.8219524965783254,1.8701119381125
43,8.0,8.0,1200.0,25.0,160.0,652.1294836074493,0.8588873044956193,1.87079411476875
44,8.0,1.0,1200.0,35.0,139.0,567.662907037282,0.7857269601336484,2.1491627951654677
45,8.0,2.0,1200.0,35.0,139.0,564.4169564243246,0.7516771235974905,2.161522587359712
46,8.0,3.0,1200.0,35.0,138.0,566.0014050216024,0.7406367523562286,2.1554716811231884
47,8.0,4.0,1200.0,35.0,138.0,564.6966711456614,0.7373342200758899,2.160451906905797
48,8.0,5.0,1200.0,35.0,139.0,565.4840048852365,0.7334966005781607,2.1574438701366905
49,8.0,6.0,1200.0,35.0,139.0,566.168795819291,0.7313419268089736,2.1548344045251797
50,8.0,7.0,1200.0,35.0,139.0,566.9656237955736,0.7305910349021832,2.1518059451870504
51,8.0,8.0,1200.0,35.0,138.0,565.6507280581371,0.733249019792351,2.156807972630435
52,8.0,1.0,1200.0,50.0,159.0,647.5933877323885,0.8392773876131004,1.8838981730062891
53,8.0,2.0,1200.0,50.0,159.0,648.4524335481551,0.8249798200352442,1.8814024543396228
54,8.0,3.0,1200.0,50.0,159.0,648.5947723797816,0.8473613035940987,1.8809895669119496
55,8.0,4.0,1200.0,50.0,159.0,649.4338780631668,0.8372708893330244,1.878559220899371
56,8.0,5.0,1200.0,50.0,159.0,649.7737923172417,0.8360129653480484,1.8775764957358492
57,8.0,6.0,1200.0,50.0,159.0,649.582193838362,0.827998938348125,1.8781302990943396
58,8.0,7.0,1200.0,50.0,159.0,650.0862387716529,0.8113459878682066,1.876674089125786
59,8.0,8.0,1200.0,50.0,159.0,652.8934300009855,0.8261202740359224,1.86860511063522
60,12.0,1.0,1200.0,5.0,111.0,452.0650531220245,0.8799794902024527,2.698726635855856
61,12.0,2.0,1200.0,5.0,111.0,452.743498536068,0.8775532660432898,2.6946825386666666
62,12.0,3.0,1200.0,5.0,111.0,451.9026861482842,0.8755780114566424,2.6996962784144145
63,12.0,4.0,1200.0,5.0,111.0,450.99435924657575,0.8692102885735875,2.705133611954955
64,12.0,5.0,1200.0,5.0,111.0,452.894116494479,0.8751108150534624,2.6937863742702706
65,12.0,6.0,1200.0,5.0,111.0,452.8623513502722,0.8811739907362988,2.693975324648649
66,12.0,7.0,1200.0,5.0,111.0,454.19779271552886,0.8580088667410224,2.6860544449279278
67,12.0,8.0,1200.0,5.0,111.0,454.70662250896487,0.8552719875961768,2.683048672720721
68,12.0,9.0,1200.0,5.0,111.0,453.5698762955141,0.8533274207586241,2.6897729848468472
69,12.0,10.0,1200.0,5.0,111.0,454.79088644287157,0.8650856661502017,2.68255155581982
70,12.0,11.0,1200.0,5.0,111.0,454.69611223333544,0.8662908250051685,2.683110691243243
71,12.0,12.0,1200.0,5.0,111.0,455.2457983101752,0.8766604408061691,2.679870971963964
72,12.0,1.0,1200.0,10.0,110.0,447.6309590935455,0.8629591142493956,2.7254593884
73,12.0,2.0,1200.0,10.0,110.0,448.66240352758854,0.8735012160579919,2.7191937421272727
74,12.0,3.0,1200.0,10.0,110.0,450.58405595219244,0.8913060416129535,2.7075969153454547
75,12.0,4.0,1200.0,10.0,110.0,448.7680404204665,0.8938351128553926,2.7185536627272726
76,12.0,5.0,1200.0,10.0,110.0,449.13180278952177,0.8765981781785284,2.716351842427273
77,12.0,6.0,1200.0,10.0,110.0,449.5004237564375,0.849354906137506,2.7141242488818182
78,12.0,7.0,1200.0,10.0,110.0,450.29246751075954,0.8805578847080142,2.709350229072727
79,12.0,8.0,1200.0,10.0,110.0,450.09461636324903,0.8678826671049629,2.7105411965545456
80,12.0,9.0,1200.0,10.0,110.0,449.7376925890148,0.8721077981924769,2.712692354018182
81,12.0,10.0,1200.0,10.0,110.0,451.01475089372923,0.8539648581782677,2.7050113052454545
82,12.0,11.0,1200.0,10.0,110.0,450.9888987311891,0.8876271480206421,2.7051663653636364
83,12.0,12.0,1200.0,10.0,110.0,451.3062452729975,0.8531962000119879,2.7032641643636364
84,12.0,1.0,1200.0,25.0,111.0,449.58213728831305,0.8537772889287711,2.713630944855856
85,12.0,2.0,1200.0,25.0,110.0,449.63612101931994,0.9067956876117899,2.7133051438
